,col,,
1331,6855,,
1332,7280,,
1333,6721.5,,
1334,5805,,
1335,4070,,
1336,1940,,
1337,182,,
1338,13,,
1339,9.5,,
1340,0,,
1341,0,,
1342,0,,
1343,0,,
1344,0,,
1345,0,,
1346,0,,
1347,0,,
1348,0,,
1349,0,,
1350,4,,
1351,212,,
1352,1375,,
1353,2700,,
1354,3545,,
1355,3710,,
1356,3600,,
1357,4133.5,,
1358,2805,,
1359,1860,,
1360,834.5,,
1361,81.5,,
1362,2.5,,
1363,0.5,,
1364,0,,
1365,0,,
1366,0,,
1367,0,,
1368,0,,
1369,0,,
1370,0,,
1371,0,,
1372,0,,
1373,0,,
1374,0.5,,
1375,213,,
1376,1181,,
1377,2200,,
1378,2905,,
1379,3525,,
1380,4197.5,,
1381,4390,,
1382,3365,,
1383,2450,,
1384,1176.5,,
1385,122,,
1386,3,,
1387,0.5,,
1388,0,,
1389,0,,
1390,0,,
1391,0,,
1392,0,,
1393,0,,
1394,0,,
1395,0,,
1396,0,,
1397,0,,
1398,2,,
1399,126,,
1400,833,,
1401,1840,,
1402,2890,,
1403,3480,,
1404,3610,,
1405,4448,,
1406,3020,,
1407,2105,,
1408,944,,
1409,99,,
1410,2,,
1411,0,,
1412,0,,
1413,0,,
1414,0,,
1415,0,,
1416,0,,
1417,0,,
1418,0,,
1419,0,,
1420,0,,
1421,0,,
1422,11.5,,
1423,33,,
1424,215,,
1425,464.5,,
1426,787.5,,
1427,804.5,,
1428,820,,
1429,1383,,
1430,730.5,,
1431,446,,
1432,168.5,,
1433,8,,
1434,1.5,,
1435,0,,
1436,0,,
1437,0,,
1438,0,,
1439,0,,
1440,0,,
1441,0,,
1442,0,,
1443,0,,
1444,0,,
1445,0.5,,
1446,0,,
1447,70,,
1448,333.5,,
1449,640.5,,
1450,1050,,
1451,1105,,
1452,1115,,
1453,1343.5,,
1454,771,,
1455,466.5,,
1456,180,,
1457,15,,
1458,4.5,,
1459,0.5,,
1460,0,,
1461,0,,
1462,0,,
1463,0,,
1464,0,,
1465,0,,
1466,0,,
1467,0,,
1468,0,,
1469,0,,
1470,0,,
1471,72.5,,
1472,316.5,,
1473,732,,
1474,1355,,
1475,1622.5,,
1476,1750,,
1477,2177,,
1478,1115,,
1479,723,,
1480,289,,
1481,34.5,,
1482,3,,
1483,0.5,,
1484,2,,
1485,4.5,,
1486,1.5,,
1487,0,,
1488,0,,
1489,0,,
1490,0,,
1491,0,,
1492,0,,
1493,0.5,,
1494,2,,
1495,202,,
1496,822,,
1497,1515,,
1498,1880,,
1499,2205,,
1500,2315,,
1501,2824.5,,
1502,1880,,
1503,1325,,
1504,638.5,,
1505,86.5,,
1506,0,,
1507,0,,
1508,0,,
1509,0,,
1510,0,,
1511,0,,
1512,0,,
1513,0,,
1514,0,,
1515,0,,
1516,0,,
1517,0,,
1518,4.5,,
1519,295.5,,
1520,1144,,
1521,1970,,
1522,2670,,
1523,2915,,
1524,2985,,
1525,2868,,
1526,1690,,
1527,935.5,,
1528,391.5,,
1529,43.5,,
1530,1,,
1531,0.5,,
1532,0,,
1533,0,,
1534,0,,
1535,0,,
1536,0,,
1537,0,,
1538,0,,
1539,0,,
1540,0,,
1541,0,,
1542,3.5,,
1543,227,,
1544,950,,
1545,1800,,
1546,2760,,
1547,3175,,
1548,3035,,
1549,3317.5,,
1550,2565,,
1551,1890,,
1552,939,,
1553,148,,
1554,2,,
1555,0.5,,
1556,0,,
1557,0,,
1558,0,,
1559,0,,
1560,0,,
1561,0,,
1562,0,,
1563,0,,
1564,1.5,,
1565,2,,
1566,3.5,,
1567,260.5,,
1568,1410,,
1569,2755,,
1570,3945,,
1571,4640,,
1572,4395,,
1573,4898,,
1574,4080,,
1575,3070,,
1576,1695,,
1577,303,,
1578,3.5,,
1579,2.5,,
1580,0,,
1581,0.5,,
1582,0.5,,
1583,0,,
1584,0,,
1585,0,,
1586,0,,
1587,0,,
1588,0,,
1589,2.5,,
1590,8.5,,
1591,499,,
1592,1855,,
1593,2860,,
1594,3625,,
1595,4460,,
1596,5110,,
1597,5277.5,,
1598,4620,,
1599,3280,,
1600,1640,,
1601,236,,
1602,3,,
1603,2.5,,
1604,0.5,,
1605,0,,
1606,0,,
1607,0,,
1608,0,,
1609,0,,
1610,0,,
1611,0,,
1612,0,,
