,Company Name,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
269,Arqiva Ltd,AMBLESTON SOLAR PANELS,Solar,7,1623,1,6,6000,2012,2037
270,Ford Farm PV Scheme LLP,Ford Farm Solar Farm,Solar,7,1626,1,5,5000,2013,2038
271,Equitix,Canworthy Water,Solar,7,1630,1,41,41000,2014,2039
272,Private Developer,Foxcombe Farm Solar Park,Solar,7,1631,1,5,5000,2013,2038
273,Milford Haven Port Authority,Liddeston Ridge Solar Park (Milford Haven),Solar,7,1634,1,5,5000,2014,2039
274,Greencoat Capital,Bodwen Solar Park,Solar,7,1639,1,5.5,5500,2017,2042
275,Private Developer,Treswarrow Solar Park,Solar,7,1641,1,6.5,6500,2015,2040
276,Elgin Energy EsCo,Carnemough Farm Solar Park,Solar,7,1642,1,7,7000,2016,2041
277,NESF (formerly British Solar Renewables),Aller Court Farm Solar Park,Solar,7,1646,1,5,5000,2017,2042
278,Sunsave 12 (Derriton Fields) Limited./ Vogt solar,Derriton Fields Solar Farm,Solar,7,1648,1,11.8,11800,2014,2039
279,Lightsource Renewable Energy,Cleave Farm Solar Park,Solar,7,1649,1,4.7,4700,2013,2038
280,RES UK & Ireland,Four Burrows Farm  (Extension 2),Solar,7,1655,1,6.3,6300,2014,2039
281,Bath & West Community Energy Ltd,Chelworth Industrial Estate Solar Park,Solar,7,1656,1,1,1000,2014,2039
282,Lightsource Renewable Energy,Drapers Farm Solar Park,Solar,7,1658,1,6,6000,2014,2039
283,,Week Farm Solar Park,Solar,7,1659,1,3.3,3300,2014,2039
