,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
201,Middle Treworder Farm,Solar,7,1541,1,5.0,5000,2013,2038
202,Black Bush Farm,Solar,7,1542,1,2.7,2700,2014,2039
203,Goonhilly Downs - PV,Solar,7,1543,1,4.5,4500,2014,2039
204,Higher Tregarne Solar Farm,Solar,7,1544,1,5.0,5000,2013,2038
205,Causilgey Solar Farm,Solar,7,1545,1,5.0,5000,2013,2038
206,Ninnis Farm Solar,Solar,7,1546,1,5.0,5000,2013,2038
207,Trelow Farm,Solar,7,1547,1,1.6,1600,2012,2037
208,Hewas Solar Farm,Solar,7,1548,1,5.0,5000,2013,2038
209,Great Knowle Farm Solar,Solar,7,1549,1,3.0,3000,2012,2037
210,Airfield Farm PV,Solar,7,1550,1,5.0,5000,2012,2037
211,Lower Bodiniel Farm,Solar,7,1551,1,5.0,5000,2012,2037
212,Shelswell Park Solar Farm,Solar,7,1552,1,5.0,5000,2013,2038
213,Chittering Solar Farm,Solar,7,1553,1,5.0,5000,2012,2037
214,Kernow Solar Farm,Solar,7,1554,1,5.0,5000,2012,2037
215,Limes Farm Solar Farm,Solar,7,1555,1,4.6,4600,2013,2038
216,Bratton Fleming Solar Farm,Solar,7,1557,1,5.0,5000,2013,2038
217,Lee Farm,Solar,7,1558,1,5.0,5000,2012,2037
218,Woodlands Barton Solar Farm,Solar,7,1560,1,4.9,4900,2013,2038
219,Winsdon Farm,Solar,7,1561,1,5.0,5000,2014,2039
220,The Manor of Cadland Estate,Solar,7,1562,1,5.0,5000,2012,2037
221,Trenouth Farm,Solar,7,1563,1,3.6,3600,2012,2037
222,Callington Solar Farm,Solar,7,1564,1,6.4,6400,2014,2039
223,St Columb Major Solar Farm,Solar,7,1566,1,7.0,7000,2014,2039
224,Crossways Pit Solar Farm,Solar,7,1567,1,5.0,5000,2013,2038
225,Ayshford Court Farm,Solar,7,1569,1,5.0,5000,2013,2038
226,Andover Solar Farm,Solar,7,1570,1,5.0,5000,2013,2038
227,Oving Solar Farm,Solar,7,1571,1,5.0,5000,2012,2037
228,Grange Farm (Cornwall),Solar,7,1572,1,5.0,5000,2013,2038
229,Shipton Bellinger - Park House Corner Solar Farm,Solar,7,1573,1,5.4,5400,2013,2038
230,Wyld Meadow Solar Farm,Solar,7,1574,1,4.8,4800,2012,2037
231,Shooters Bottom Solar Park,Solar,7,1575,1,7.0,7000,2014,2039
232,Goldenhaye Field Solar Farm,Solar,7,1576,1,2.0,2000,2013,2038
233,Clearwell Farm - solar,Solar,7,1577,1,2.0,2000,2015,2040
234,Danes Farm,Solar,7,1578,1,3.3,3300,2011,2036
235,Langstone Court Road Solar Farm,Solar,7,1580,1,2.5,2500,2013,2038
236,Five Oaks Solar Farm,Solar,7,1581,1,5.0,5000,2011,2036
237,Culworth House Solar Farm,Solar,7,1582,1,3.0,3000,2015,2040
238,Warleigh Barton Solar Farm,Solar,7,1583,1,5.0,5000,2013,2038
239,Trenoweth Solar Farm,Solar,7,1584,1,2.5,2500,2013,2038
240,Wymeswold Airfield,Solar,7,1585,1,34.0,34000,2013,2038
241,Higher Hatherleigh Solar Farm,Solar,7,1586,1,3.5,3500,2013,2038
242,Barton Solar Farm,Solar,7,1587,1,1.2,1200,2012,2037
243,Clann Solar Farm,Solar,7,1588,1,1.4,1400,2014,2039
244,Dolmans Hill (Redbridge Farm) Solar Arrays,Solar,7,1589,1,5.0,5000,2014,2039
245,North Norfolk Business Centre Solar Park,Solar,7,1590,1,11.0,11000,2014,2039
246,Horsacott Farm Solar Park,Solar,7,1591,1,6.4,6400,2013,2038
247,Broxted Solar Farm (Stradishall Airfield),Solar,7,1592,1,31.6,31600,2014,2039
248,Pentylands Farm,Solar,7,1593,1,19.0,19000,2014,2039
249,Trefinnick Farm,Solar,7,1594,1,5.0,5000,2013,2038
250,Four Burrows Solar farm,Solar,7,1595,1,7.2,7200,2015,2040
251,Rudbaxton Solar Park,Solar,7,1598,1,10.8,10800,2014,2039
252,Hope Solar Farm,Solar,7,1601,1,7.3,7300,2014,2039
253,Culmhead Solar Farm (Resubmission),Solar,7,1603,1,7.5,7500,2014,2039
254,Wheal Alfred Road Solar Farm,Solar,7,1604,1,3.5,3500,2013,2038
