,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
1086,London?s Queen Elizabeth II reservoir,Solar,7,6063,1,6.3,6300,2016,2041
1087,Barnfield Solar Park,Solar,7,6069,1,2.5,2500,2018,2043
1088,Popehill Farm,Solar,7,6108,1,5.0,5000,2017,2042
1089,Waltham Point Distribution Centre,Solar,7,6114,1,1.8,1800,2016,2041
1090,Knottingley B,Solar,7,6129,1,2.4,2400,2016,2041
1091,Western International Market,Solar,7,6132,1,1.7,1700,2016,2041
1092,Land East of Horton Road ,Solar,7,6133,1,4.9,4900,2017,2042
1093,Salford Road,Solar,7,6162,1,1.6,1600,2016,2041
1094,Grove Solar Park (Phase 2),Solar,7,6163,1,11.0,11000,2016,2041
1095,Williams Farm,Solar,7,6172,1,5.0,5000,2016,2041
1096,Kirton Solar PV Farm,Solar,7,6174,1,3.2,3200,2016,2041
1097,Bury Green Farm Solar,Solar,7,6180,1,5.0,5000,2016,2041
1098,Misson Solar Farm,Solar,7,6181,1,5.0,5000,2016,2041
1099,Lancaster Wastewater Treatment Works,Solar,7,6189,1,1.2,1200,2016,2041
1100,Whitman Laboratories,Solar,7,6198,1,1.0,1000,2017,2042
1101,Binsted Farm,Solar,7,6205,1,5.0,5000,2016,2041
1102,Oakfield Farm,Solar,7,6230,1,5.0,5000,2016,2041
1103,Oakfield Farm - extension,Solar,7,6231,1,1.7,1700,2016,2041
1104,Former Westhampnett Landfill,Solar,7,6244,1,7.5,7500,2018,2043
1105,Bentley Motors,Solar,7,6246,1,2.9,2900,2018,2043
1106,DPD Distribution Centre,Solar,7,6314,1,1.0,1000,2017,2042
1107,Bywaters? Materials Recovery Facility Solar Array,Solar,7,6320,1,1.0,1000,2017,2042
1108,High Meadow Farm,Solar,7,6321,1,4.0,4000,2016,2041
1109,Deep Moor Landfill Site (Resubmission),Solar,7,6328,1,2.0,2000,2018,2043
1110,Testwood Water Supply Works,Solar,7,6329,1,1.9,1900,2017,2042
1111,Rosedew Farm,Solar,7,6369,1,5.0,5000,2016,2041
1112,Dengemarsh Road,Solar,7,6376,1,1.0,1000,2016,2041
1113,Haigh Hall Solar Farm (Resubmission),Solar,7,6402,1,5.0,5000,2017,2042
1114,Next Distribution Centre Doncaster,Solar,7,6403,1,2.5,2500,2016,2041
1115,Sytchwythy Fields,Solar,7,6458,1,1.4,1400,2017,2042
1116,Clifton Marsh Wastewater Treatment Works,Solar,7,6466,1,1.3,1300,2019,2044
1117,Sherburn,Solar,7,6485,1,5.0,5000,2016,2041
1118,Aldi - Cardiff,Solar,7,6486,1,1.5,1500,2016,2041
1119,Oak Grove Farm,Solar,7,6493,1,5.7,5700,2017,2042
1120,Lathom (Pilkington Technical Centre),Solar,7,6513,1,2.5,2500,2019,2044
1121,Stormy Down Solar Farm,Solar,7,6520,1,3.8,3800,2017,2042
1122,Clifton Marsh Wastewater Treatment Works,Solar,7,6523,1,3.2,3200,2019,2044
1123,Huntington Water Treatment Works,Solar,7,6532,1,7.2,7200,2019,2044
1124,Cranfield Airfield,Solar,7,6603,1,1.0,1000,2018,2043
1125,Chamber 16 (Cold Store),Solar,7,6683,1,1.2,1200,2016,2041
1126,Burneside Mill,Solar,7,6759,1,0.5,500,2019,2044
1127,Leeways,Solar,7,6761,1,0.5,500,2019,2044
1128,Ainsdale Wastewater Treatment Works,Solar,7,7279,1,0.3,300,2019,2044
1129,Volmary Site,Solar,7,7298,1,0.2,200,2019,2044
1130,National Space Centre,Solar,7,7320,1,0.2,200,2019,2044
1131,Henry Colbeck Office,Solar,7,7391,1,0.2,200,2019,2044
1132,Jaywick Water Recycling Centre,Solar,7,7689,1,0.9,900,2019,2044
