"index","Normalised_ASHP_heat","Normalised_ASHP_elec","Normalised_GSHP_heat","Normalised_GSHP_elec","Normalised_Resistance_heater_heat","Normalised_Resistance_heater_elec","Normalised_Gas_boiler_heat","Normalised_Gas_boiler_gas"
"2013-07-09T05:30:00",1.3024520984500855e-05,5.4288024132561315e-06,1.377045710795784e-05,8.917710197498435e-06,3.395282821655258e-05,3.395282821655258e-05,2.9198532950181776e-05,3.476015893340854e-05
"2013-07-09T06:00:00",1.1330313116067181e-05,4.9474849156617835e-06,1.3181327812895711e-05,8.917710197498435e-06,3.6593631097527976e-05,3.6593631097527976e-05,3.3438153534640555e-05,3.9807324005640575e-05
"2013-07-09T06:30:00",9.162699339474256e-06,4.479204493564188e-06,1.2399795656442229e-05,8.660497868397583e-06,3.7955358135338976e-05,3.7955358135338976e-05,3.3438153534640555e-05,3.9807324005640575e-05
"2013-07-09T07:00:00",8.25303702514962e-06,4.216025252453472e-06,1.2290083329092471e-05,8.800705220527949e-06,3.666011992029878e-05,3.666011992029878e-05,3.323454331672346e-05,3.956493323943822e-05
"2013-07-09T07:30:00",7.197014240215176e-06,4.216025252453472e-06,1.1560310451720075e-05,8.49032438779691e-06,3.356938975629766e-05,3.356938975629766e-05,3.323454331672346e-05,3.956493323943822e-05
"2013-07-09T08:00:00",5.287789914841817e-06,4.160908574562941e-06,1.2869774666194234e-05,8.87997847245885e-06,3.085259715155913e-05,3.085259715155913e-05,2.2126246884380664e-05,2.6340770480158436e-05
"2013-07-09T08:30:00",4.6515766092399185e-06,3.9050844890005345e-06,9.338742257806117e-06,7.285208792719023e-06,3.085259715155913e-05,3.085259715155913e-05,1.8104743138290476e-05,2.1553264838642375e-05
"2013-07-09T09:00:00",5.671200400415861e-06,3.880740397177422e-06,8.757815663701946e-06,6.446568073675797e-06,2.869770923213822e-05,2.869770923213822e-05,1.1633843648818836e-05,1.3849813363070943e-05
"2013-07-09T09:30:00",5.671200400415861e-06,3.7690147670134066e-06,8.03566239003301e-06,6.226658233104846e-06,2.8378642260995342e-05,2.8378642260995342e-05,1.2028369698997e-05,1.4319487783191395e-05
"2013-07-09T10:00:00",5.002265460277421e-06,3.725413604242634e-06,6.581848385136969e-06,5.947751101880668e-06,2.8345794740394863e-05,2.8345794740394863e-05,9.082230169935929e-06,1.081217926449947e-05
"2013-07-09T10:30:00",5.017978925946058e-06,3.725413604242634e-06,5.821295928026933e-06,5.74578046252551e-06,2.8309116436931995e-05,2.8309116436931995e-05,8.550718226971967e-06,1.0179426417669013e-05
"2013-07-09T11:00:00",7.466464180885886e-06,3.899892125967411e-06,5.414819880966665e-06,1.969025450997368e-06,2.8309116436931995e-05,2.8309116436931995e-05,6.857165140912535e-06,8.163292020714392e-06
"2013-07-09T11:30:00",6.0541506150686254e-06,3.676435620386716e-06,4.3565412002822476e-06,1.584196670958157e-06,2.8092090611117552e-05,2.8092090611117552e-05,6.857165140912535e-06,8.163292020714392e-06
"2013-07-09T12:00:00",5.817829253120317e-06,3.48392086027186e-06,3.986641611362285e-06,1.4496878487430038e-06,2.7957717728367275e-05,2.7957717728367275e-05,6.857165140912535e-06,8.163292020714392e-06
"2013-07-09T12:30:00",5.993668917911442e-06,3.3502506228263884e-06,3.3186818511149885e-06,1.2067933109977344e-06,2.7024013798456495e-05,2.7024013798456495e-05,6.857165140912535e-06,8.163292020714392e-06
"2013-07-09T13:00:00",7.6107470943363e-06,3.429259863706526e-06,3.249247818973262e-06,1.1815447409183477e-06,2.7024013798456495e-05,2.7024013798456495e-05,7.636920030921647e-06,9.091571813275322e-06
"2013-07-09T13:30:00",7.6107470943363e-06,3.4442035885466982e-06,3.249247818973262e-06,1.1815447409183477e-06,2.7024013798456495e-05,2.7024013798456495e-05,7.636920030921647e-06,9.091571813275322e-06
